도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도451호선,(구)달성터널,대구광역시,달성군,논공읍,본리리,565,9.8,7.8,6.9,,22359,전문관리기관,한국도로공사,창녕지사,1977,
고속국도,고속국도55호선,가곡터널(상행선),경상남도,밀양시,가곡동,,376,10,7.5,6,1,25131,전문관리기관,신대구부산고속도로㈜,본사,2006,
고속국도,고속국도55호선,가곡터널(하행선),경상남도,밀양시,가곡동,,376,10,7.5,6,1,25131,전문관리기관,신대구부산고속도로㈜,본사,2006,
고속국도,고속국도151호선,가덕터널(공주),충청남도,부여군,옥산면,가덕리,373,10.7,11.2,7.3,,11795,전문관리기관,한국도로공사,부여지사,2009,
고속국도,고속국도151호선,가덕터널(서천),충청남도,부여군,옥산면,가덕리,373,10.7,7.2,7.3,,11795,전문관리기관,한국도로공사,부여지사,2009,
고속국도,고속국도55호선,가산터널(부산),경상북도,칠곡군,가산면,석우리,748,10,7.2,6.7,,28301,전문관리기관,한국도로공사,군위지사,2000,
고속국도,고속국도55호선,가산터널(춘천),경상북도,칠곡군,가산면,석우리,765,10,7.2,6.7,,28301,전문관리기관,한국도로공사,군위지사,1995,
고속국도,고속국도12호선,가야1터널(광주),경상남도,합천군,가야면,성기리,1214,12.8,10.5,8.2,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도12호선,가야1터널(대구),경상남도,합천군,가야면,성기리,1229,12.8,10.5,8.2,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도12호선,가야2터널(광주),경상남도,합천군,가야면,성기리,742,12.2,10.7,7.2,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도12호선,가야2터널(대구),경상남도,합천군,가야면,성기리,750,12.2,10.7,7.2,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도12호선,가야3터널(광주),경상남도,합천군,가야면,청현리,1692,12.7,10.7,7.3,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도12호선,가야3터널(대구),경상남도,합천군,가야면,청현리,1684,12.7,10.7,7.3,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도35호선,가옥터널(통영),전북특별자치도,무주군,무주읍,가옥리,620,11.2,7.2,6.7,,11198,전문관리기관,한국도로공사,무주지사,2001,
고속국도,고속국도35호선,가옥터널(하남),전북특별자치도,무주군,무주읍,가옥리,640,11.2,7.2,6.7,,11198,전문관리기관,한국도로공사,무주지사,2001,
고속국도,고속국도12호선,가조터널(광주),경상남도,거창군,가조면,도리,1573,12.8,10.5,8.2,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도12호선,가조터널(대구),경상남도,거창군,가조면,도리,1559,12.8,10.5,8.2,,12038,전문관리기관,한국도로공사,고령지사,2015,
고속국도,고속국도29호선,갈현터널(상행),경기도,광주시,삼동,,1155,12.8,,7.4,,9527,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,갈현터널(하행),경기도,광주시,삼동,,1143,12.8,,7.4,,9527,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도65호선,강릉1터널(삼척),강원특별자치도,강릉시,옥계면,낙풍리,535,11.2,10.7,7.3,,13017,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉1터널(속초),강원특별자치도,강릉시,옥계면,낙풍리,450,13.8,12.8,8.3,,13017,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉2터널(삼척),강원특별자치도,강릉시,강동면,산성우리,210,11.8,11.8,7.5,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉2터널(속초),강원특별자치도,강릉시,강동면,산성우리,210,11.8,11.8,7.5,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉3터널(삼척),강원특별자치도,강릉시,강동면,산성우리,140,11.8,11.8,7.5,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉3터널(속초),강원특별자치도,강릉시,강동면,산성우리,140,11.8,11.8,7.5,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉4터널(삼척),강원특별자치도,강릉시,강동면,임곡리,960,11.8,11.4,7.3,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉4터널(속초),강원특별자치도,강릉시,강동면,산성우리,960,11.9,11.1,7.3,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉5터널(삼척),강원특별자치도,강릉시,강동면,임곡리,2095,12.7,10.7,7.4,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도65호선,강릉5터널(속초),강원특별자치도,강릉시,강동면,임곡리,2075,12.7,10.7,7.4,,13850,전문관리기관,한국도로공사,강릉지사,2004,
고속국도,고속국도45호선,강상1터널(양평),경기도,양평군,강상면,대석리,1323,12.6,9.2,7.3,,13855,전문관리기관,한국도로공사,이천지사,2012,
고속국도,고속국도45호선,강상1터널(창원),경기도,양평군,강상면,대석리,1328,12.6,9.2,7.3,,13855,전문관리기관,한국도로공사,이천지사,2012,
고속국도,고속국도45호선,강상2터널(양평),경기도,양평군,강상면,세월리,1699,12.6,9.2,7.3,,13855,전문관리기관,한국도로공사,이천지사,2012,
고속국도,고속국도45호선,강상2터널(창원),경기도,양평군,강상면,세월리,1697,12.6,9.2,7.3,,13855,전문관리기관,한국도로공사,이천지사,2012,
고속국도,고속국도10호선,강진1터널(순천),전라남도,강진군,성전면,수양리,659,11.5,10.3,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진1터널(영암),전라남도,강진군,성전면,수양리,667,11.5,10.3,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진2터널(순천),전라남도,강진군,작천면,평기리,685,11.5,10.3,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진2터널(영암),전라남도,강진군,작천면,삼당리,675,11.5,10.3,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진3터널(순천),전라남도,강진군,작천면,삼당리,1255,12.6,10.7,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진3터널(영암),전라남도,강진군,작천면,삼당리,1265,12.6,10.7,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진4터널(순천),전라남도,강진군,병영면,삭양리,1260,12.6,10.7,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,강진4터널(영암),전라남도,강진군,병영면,삭양리,1270,12.6,10.7,7.3,,5199,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도50호선,강천터널(강릉),경기도,여주군,강천면,강천리,338,10,7.2,6.7,,23038,전문관리기관,한국도로공사,원주지사,1994,
고속국도,고속국도50호선,강천터널(인천),경기도,여주군,강천면,강천리,329,14.3,10.8,8.2,,23038,전문관리기관,한국도로공사,원주지사,2011,
