도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도
고속국도,고속국도29호선,갈매지하차도,서울특별시,중랑구,신내동,,100,25.2,24.3,7.2,1,33949,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도29호선,갈매지하차도,서울특별시,중랑구,신내동,,100,48,,8.5,,6101,전문관리기관,한국도로공사,파주지사,2017
고속국도,고속국도17호선,금곡지하차도,경기도,수원시 권선구,호매실동,,3125,27.1,27.1,11,,22621,전문관리기관,수도권서부고속도로㈜,본사,2016
고속국도,고속국도171호선,금광 지하차도,경기도,수원시 영통구,하동,,465,27.8,21,6.3,,40706,전문관리기관,경수고속도로㈜,본사,2009
고속국도,고속국도171호선,동역 지하차도,경기도,수원시 영통구,이의동,,245,28.9,21,6,,40706,전문관리기관,경수고속도로㈜,본사,2009
고속국도,고속국도110호선,동판교IC 지하차도,경기도,성남시 수정구,시흥동,,47,31.8,15,4.7,,23045,전문관리기관,제2경인연결고속도로㈜,본사,2017
고속국도,고속국도60호선,미사지하차도,경기도,하남시,망월동,,123,11.8,11.8,8.1,,80504,전문관리기관,서울춘천고속도로㈜,본사,2009
고속국도,고속국도100호선,벽제지하차도(문산),경기도,고양시 덕양구,대자동,,160,12.5,12.5,5,,82174,전문관리기관,서울고속도로㈜,본사,2006
고속국도,고속국도100호선,벽제지하차도(서울),경기도,고양시 덕양구,대자동,,160,12.5,12.5,5,,82174,전문관리기관,서울고속도로㈜,본사,2006
고속국도,고속국도400호선,봉담지하차도,경기도,화성시,봉담읍,와우리,50,23,14,6.4,,8624,전문관리기관,경기고속도로㈜,본사,2009
고속국도,고속국도1호선,삼평지하차도,경기도,성남시 분당구,삼평동,,250,10.7,10.7,5,,82390,전문관리기관,한국도로공사,수원지사,2010
고속국도,고속국도10호선,서순천IC지하차도,전라남도,순천시,서면,동산리,54,7.6,7.6,5.3,,15735,전문관리기관,한국도로공사,순천지사,2002
고속국도,고속국도400호선,세교지하차도,경기도,오산시,세교동,,100,23.4,14.4,5,,40688,전문관리기관,경기고속도로㈜,본사,2009
고속국도,고속국도17호선,소하지하차도,경기도,광명시,소하동,,398,13,13,5,,31429,자치단체,경기,광명시,2016
고속국도,고속국도171호선,신대 지하차도,경기도,수원시 영통구,하동,,495,28.9,21,6.3,,40706,전문관리기관,경수고속도로㈜,본사,2009
고속국도,고속국도171호선,여수내 지하차도,경기도,수원시 영통구,하동,,255,28.9,21,6.3,,40706,전문관리기관,경수고속도로㈜,본사,2009
고속국도,고속국도110호선,여수지하차도,경기도,성남시 수정구,시흥동,,121,17.8,17.8,7.3,,23045,전문관리기관,제2경인연결고속도로㈜,본사,2017
고속국도,고속국도400호선,원창지하차도(김포),인천광역시,서구,원창동,,53.9,15.3,10.8,8.8,,39424,전문관리기관,인천김포고속도로㈜,본사,2017
고속국도,고속국도400호선,원창지하차도(인천),인천광역시,서구,원창동,,74,18.9,14.4,8.8,,39424,전문관리기관,인천김포고속도로㈜,본사,2017
고속국도,고속국도29호선,이가팔지하차도,경기도,포천시,소흘읍,이가팔리,360,26,,7.5,,8454,전문관리기관,한국도로공사,파주지사,2017
고속국도,고속국도29호선,이가팔지하차도,경기도,포천시,소흘읍,이가팔리,360,25.6,24.7,5.3,1,25973,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도29호선,자금지하차도(구리),경기도,의정부시,자일동,,180,18,,8.5,,13481,전문관리기관,한국도로공사,파주지사,2017
고속국도,고속국도29호선,자금지하차도(구리),경기도,의정부시,자일동,,180,15.3,15.3,7.6,1,30625,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도29호선,자금지하차도(포천),경기도,의정부시,자일동,,180,18,,8.5,,13481,전문관리기관,한국도로공사,파주지사,2017
고속국도,고속국도29호선,자금지하차도(포천),경기도,의정부시,자일동,,180,15.3,15.3,7.6,1,30625,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도29호선,중랑IC1지하차도,서울특별시,중랑구,신내동,,140,8,,7.5,,6101,전문관리기관,한국도로공사,파주지사,2017
고속국도,고속국도29호선,중랑IC1지하차도,서울특별시,중랑구,신내동,,140,8.2,7.3,5.7,1,33949,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도29호선,중랑IC2지하차도,경기도,구리시,수택동,,33,8.2,8.1,5.7,,33949,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도130호선,청라1지하차도,인천광역시,서구,검암동,,46.8,7.6,7.6,5,1,37694,전문관리기관,신공항하이웨이㈜,본사,2013
고속국도,고속국도130호선,청라2지하차도,인천광역시,서구,검암동,,34.4,7.6,7.6,5,1,37694,전문관리기관,신공항하이웨이㈜,본사,2013
고속국도,고속국도130호선,청라3지하차도,인천광역시,서구,검암동,,68.6,7.6,7.6,5,1,37694,전문관리기관,신공항하이웨이㈜,본사,2013
고속국도,고속국도400호선,청라국제지하차도,인천광역시,서구,청라동,,2580,33.5,21.6,5.5,,39424,전문관리기관,인천김포고속도로㈜,본사,2017
고속국도,고속국도29호선,청학지하차도(구리),경기도,의정부시,산곡동,,30,17.8,17,5.5,1,37919,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도29호선,청학지하차도(포천),경기도,의정부시,산곡동,,30,17.8,17,5.5,1,37919,전문관리기관,서울북부고속도로㈜,본사,2017
고속국도,고속국도1호선,판교IC지하차도,경기도,성남시 분당구,판교동,,281.3,11.4,11.4,5.2,,82390,전문관리기관,한국도로공사,수원지사,2010
고속국도,고속국도32호선,현충사지하차도,충청남도,아산시,염치읍,백암리,60,25.3,25.3,8,,6919,전문관리기관,한국도로공사,천안지사,2023
고속국도,고속국도400호선,화운사생태터널,경기도,용인시 처인구,삼가동,,310,23.4,23.4,9,,21227,전문관리기관,화성광주고속도로㈜,본사,2022
